# tau(fm)  ecc_1  ecc_2  ecc_3  ecc_4  ecc_5  ecc_6
    2.42000000e+00  8.90120160e-02  5.53119515e-01  1.76954462e-01  3.08514430e-01  1.61571422e-01  9.53863172e-02  
    2.44000000e+00  8.85758125e-02  5.51567624e-01  1.76129767e-01  3.06898855e-01  1.60477335e-01  9.46987918e-02  
    2.46000000e+00  8.81384321e-02  5.50006635e-01  1.75300486e-01  3.05277183e-01  1.59381056e-01  9.40111983e-02  
    2.48000000e+00  8.76994307e-02  5.48436329e-01  1.74466620e-01  3.03648306e-01  1.58283034e-01  9.33242362e-02  
    2.50000000e+00  8.72587001e-02  5.46857516e-01  1.73628351e-01  3.02012581e-01  1.57182798e-01  9.26346030e-02  
    2.52000000e+00  8.68159785e-02  5.45269728e-01  1.72784649e-01  3.00366966e-01  1.56082783e-01  9.19453042e-02  
    2.54000000e+00  8.63714234e-02  5.43673203e-01  1.71937524e-01  2.98713965e-01  1.54983540e-01  9.12583450e-02  
    2.56000000e+00  8.59249749e-02  5.42067671e-01  1.71085625e-01  2.97053211e-01  1.53881658e-01  9.05697282e-02  
    2.58000000e+00  8.54764590e-02  5.40454253e-01  1.70227911e-01  2.95384222e-01  1.52777120e-01  8.98784371e-02  
    2.60000000e+00  8.50257432e-02  5.38831917e-01  1.69364079e-01  2.93708349e-01  1.51670174e-01  8.91839819e-02  
    2.62000000e+00  8.45725220e-02  5.37201813e-01  1.68495358e-01  2.92025228e-01  1.50561278e-01  8.84878591e-02  
    2.64000000e+00  8.41173144e-02  5.35563248e-01  1.67620989e-01  2.90334731e-01  1.49450100e-01  8.77888904e-02  
    2.66000000e+00  8.36601556e-02  5.33917520e-01  1.66742148e-01  2.88638372e-01  1.48338671e-01  8.70892683e-02  
    2.68000000e+00  8.32012517e-02  5.32263613e-01  1.65859806e-01  2.86935784e-01  1.47224285e-01  8.63911024e-02  
    2.70000000e+00  8.27414905e-02  5.30602242e-01  1.64974362e-01  2.85227504e-01  1.46104834e-01  8.56943376e-02  
    2.72000000e+00  8.22806881e-02  5.28933332e-01  1.64084819e-01  2.83514440e-01  1.44984885e-01  8.49980394e-02  
